date,region,product,revenue,units_sold
2025-01,North,Widget-A,12400,124
2025-01,North,Widget-B,8700,87
2025-01,North,Widget-C,15300,102
2025-01,South,Widget-A,10200,102
2025-01,South,Widget-B,7100,71
2025-01,South,Widget-C,12800,85
2025-01,East,Widget-A,11500,115
2025-01,East,Widget-B,8200,82
2025-01,East,Widget-C,14100,94
2025-01,West,Widget-A,9800,98
2025-01,West,Widget-B,6900,69
2025-01,West,Widget-C,11600,77
2025-02,North,Widget-A,11800,118
2025-02,North,Widget-B,8300,83
2025-02,North,Widget-C,14700,98
2025-02,South,Widget-A,10500,105
2025-02,South,Widget-B,7400,74
2025-02,South,Widget-C,13100,87
2025-02,East,Widget-A,11900,119
2025-02,East,Widget-B,8500,85
2025-02,East,Widget-C,14500,97
2025-02,West,Widget-A,10100,101
2025-02,West,Widget-B,7200,72
2025-02,West,Widget-C,12000,80
2025-03,North,Widget-A,13600,136
2025-03,North,Widget-B,9500,95
2025-03,North,Widget-C,16800,112
2025-03,South,Widget-A,11400,114
2025-03,South,Widget-B,8000,80
2025-03,South,Widget-C,14200,95
2025-03,East,Widget-A,12800,128
2025-03,East,Widget-B,9100,91
2025-03,East,Widget-C,15600,104
2025-03,West,Widget-A,10900,109
2025-03,West,Widget-B,7700,77
2025-03,West,Widget-C,12900,86
2025-04,North,Widget-A,14200,142
2025-04,North,Widget-B,10000,100
2025-04,North,Widget-C,17500,117
2025-04,South,Widget-A,12000,120
2025-04,South,Widget-B,8400,84
2025-04,South,Widget-C,14900,99
2025-04,East,Widget-A,13400,134
2025-04,East,Widget-B,9500,95
2025-04,East,Widget-C,16300,109
2025-04,West,Widget-A,11400,114
2025-04,West,Widget-B,8100,81
2025-04,West,Widget-C,13500,90
2025-05,North,Widget-A,15100,151
2025-05,North,Widget-B,10600,106
2025-05,North,Widget-C,18600,124
2025-05,South,Widget-A,12700,127
2025-05,South,Widget-B,8900,89
2025-05,South,Widget-C,15800,105
2025-05,East,Widget-A,14200,142
2025-05,East,Widget-B,10100,101
2025-05,East,Widget-C,17300,115
2025-05,West,Widget-A,12100,121
2025-05,West,Widget-B,8600,86
2025-05,West,Widget-C,14300,95
2025-06,North,Widget-A,15800,158
2025-06,North,Widget-B,11100,111
2025-06,North,Widget-C,19400,129
2025-06,South,Widget-A,13300,133
2025-06,South,Widget-B,9400,94
2025-06,South,Widget-C,16500,110
2025-06,East,Widget-A,14900,149
2025-06,East,Widget-B,10600,106
2025-06,East,Widget-C,18100,121
2025-06,West,Widget-A,5200,52
2025-06,West,Widget-B,3700,37
2025-06,West,Widget-C,6100,41
2025-07,North,Widget-A,16500,165
2025-07,North,Widget-B,11600,116
2025-07,North,Widget-C,20300,135
2025-07,South,Widget-A,13900,139
2025-07,South,Widget-B,9800,98
2025-07,South,Widget-C,17200,115
2025-07,East,Widget-A,15500,155
2025-07,East,Widget-B,11000,110
2025-07,East,Widget-C,18900,126
2025-07,West,Widget-A,13200,132
2025-07,West,Widget-B,9400,94
2025-07,West,Widget-C,15600,104
2025-08,North,Widget-A,16100,161
2025-08,North,Widget-B,11300,113
2025-08,North,Widget-C,19800,132
2025-08,South,Widget-A,13500,135
2025-08,South,Widget-B,9500,95
2025-08,South,Widget-C,16800,112
2025-08,East,Widget-A,15100,151
2025-08,East,Widget-B,10700,107
2025-08,East,Widget-C,18400,123
2025-08,West,Widget-A,12800,128
2025-08,West,Widget-B,9100,91
2025-08,West,Widget-C,15100,101
2025-09,North,Widget-A,14800,148
2025-09,North,Widget-B,10400,104
2025-09,North,Widget-C,18200,121
2025-09,South,Widget-A,12400,124
2025-09,South,Widget-B,8700,87
2025-09,South,Widget-C,15400,103
2025-09,East,Widget-A,13900,139
2025-09,East,Widget-B,9900,99
2025-09,East,Widget-C,17000,113
2025-09,West,Widget-A,11800,118
2025-09,West,Widget-B,8400,84
2025-09,West,Widget-C,13900,93
2025-10,North,Widget-A,13900,139
2025-10,North,Widget-B,9800,98
2025-10,North,Widget-C,17100,114
2025-10,South,Widget-A,11700,117
2025-10,South,Widget-B,8200,82
2025-10,South,Widget-C,14500,97
2025-10,East,Widget-A,13100,131
2025-10,East,Widget-B,9300,93
2025-10,East,Widget-C,16000,107
2025-10,West,Widget-A,11100,111
2025-10,West,Widget-B,7900,79
2025-10,West,Widget-C,13100,87
2025-11,North,Widget-A,15200,152
2025-11,North,Widget-B,10700,107
2025-11,North,Widget-C,18700,125
2025-11,South,Widget-A,12800,128
2025-11,South,Widget-B,9000,90
2025-11,South,Widget-C,15900,106
2025-11,East,Widget-A,14300,143
2025-11,East,Widget-B,10200,102
2025-11,East,Widget-C,17500,117
2025-11,West,Widget-A,12200,122
2025-11,West,Widget-B,8600,86
2025-11,West,Widget-C,14400,96
2025-12,North,Widget-A,17200,172
2025-12,North,Widget-B,12100,121
2025-12,North,Widget-C,21200,141
2025-12,South,Widget-A,14500,145
2025-12,South,Widget-B,10200,102
2025-12,South,Widget-C,18000,120
2025-12,East,Widget-A,16200,162
2025-12,East,Widget-B,11500,115
2025-12,East,Widget-C,19800,132
2025-12,West,Widget-A,13800,138
2025-12,West,Widget-B,9700,97
2025-12,West,Widget-C,16200,108
